,answer,answerUser,feature
0,0.9,A39OBMGPC1917V,"exports_[1163000, 10071333333.333]_0"
1,0.6,A2LL81ERU0Y7E6,"exports_[1163000, 10071333333.333]_0"
3,0.6,ANMXMEB55AGM6,"exports_[1163000, 10071333333.333]_0"
4,0.5,A2NAKIXS3DVGAA,"exports_[1163000, 10071333333.333]_0"
5,0.7,AL36KBFL3ORCD,"exports_[1163000, 10071333333.333]_0"
7,0.7,A34GXB9CLD01FZ,"exports_[1163000, 10071333333.333]_0"
8,0.1,AQ07VGUPLAGEU,"exports_[1163000, 10071333333.333]_0"
9,0.8,A2WC2NO555XU3J,"exports_[1163000, 10071333333.333]_0"
16,0.8,AVCXJ9M71WDCB,"exports_[1163000, 10071333333.333]_0"
18,0.7,A1SWTHM03SN731,"exports_[1163000, 10071333333.333]_0"
19,0.4,A8GWYS9O8FUEK,"exports_[1163000, 10071333333.333]_0"
21,0.8,A1JR1MJO1PQUYG,"exports_[1163000, 10071333333.333]_0"
23,0.9,A360G7Q6RO5XRL,"exports_[1163000, 10071333333.333]_0"
24,0.5,A39Q6EA421OBQE,"exports_[1163000, 10071333333.333]_0"
25,0.8,AZACNY1H74YWS,"exports_[1163000, 10071333333.333]_0"
26,0.8,AMCJ2CQOZ6BD2,"exports_[1163000, 10071333333.333]_0"
27,0.6,A14MLOVO4YH17Z,"exports_[1163000, 10071333333.333]_0"
28,0.4,A1RHQEWFCONEP8,"exports_[1163000, 10071333333.333]_0"
29,0.5,A3O9Q7AV4TDE4G,"exports_[1163000, 10071333333.333]_0"
33,0.4,A2HGAQ9WOEU9PN,"exports_[1163000, 10071333333.333]_0"
35,0.7,A1POQWMOWKNQCN,"exports_[1163000, 10071333333.333]_0"
37,0.5,A369K7I5SXBPNC,"exports_[1163000, 10071333333.333]_0"
38,0.8,A2VBSFSJXLZZ7A,"exports_[1163000, 10071333333.333]_0"
39,0.5,A3DT085TCZLLMH,"exports_[1163000, 10071333333.333]_0"
40,0.7,A3959BXDXZLWX2,"exports_[1163000, 10071333333.333]_0"
41,0.3,A163J5TEJBO43B,"exports_[1163000, 10071333333.333]_0"
42,0.9,AP0A2XBW34SZJ,"exports_[1163000, 10071333333.333]_0"
43,0.6,A3L2UB07EZJAMD,"exports_[1163000, 10071333333.333]_0"
44,0.2,A2D4VR2C6O7Z1Z,"exports_[1163000, 10071333333.333]_0"
47,0.9,A1SLJKNSNHOJRN,"exports_[1163000, 10071333333.333]_0"
48,0.8,A3TUV36R7RR04T,"exports_[1163000, 10071333333.333]_0"
49,0.8,A1P1UEH9PMSHXG,"exports_[1163000, 10071333333.333]_0"
50,0.8,ADEMAGRRRGSPT,"exports_[1163000, 10071333333.333]_0"
51,0.2,A39OBMGPC1917V,"exports_[1163000, 10071333333.333]_1"
52,0.3,A2LL81ERU0Y7E6,"exports_[1163000, 10071333333.333]_1"
54,0.4,ANMXMEB55AGM6,"exports_[1163000, 10071333333.333]_1"
55,0.3,A2NAKIXS3DVGAA,"exports_[1163000, 10071333333.333]_1"
56,0.4,AL36KBFL3ORCD,"exports_[1163000, 10071333333.333]_1"
58,0.3,A34GXB9CLD01FZ,"exports_[1163000, 10071333333.333]_1"
59,0.5,AQ07VGUPLAGEU,"exports_[1163000, 10071333333.333]_1"
60,0.3,A2WC2NO555XU3J,"exports_[1163000, 10071333333.333]_1"
67,0.2,AVCXJ9M71WDCB,"exports_[1163000, 10071333333.333]_1"
69,0.3,A1SWTHM03SN731,"exports_[1163000, 10071333333.333]_1"
70,0.5,A8GWYS9O8FUEK,"exports_[1163000, 10071333333.333]_1"
72,0.2,A1JR1MJO1PQUYG,"exports_[1163000, 10071333333.333]_1"
74,0.3,A360G7Q6RO5XRL,"exports_[1163000, 10071333333.333]_1"
75,0.4,A39Q6EA421OBQE,"exports_[1163000, 10071333333.333]_1"
76,0.7,AZACNY1H74YWS,"exports_[1163000, 10071333333.333]_1"
77,0.5,AMCJ2CQOZ6BD2,"exports_[1163000, 10071333333.333]_1"
78,0.3,A14MLOVO4YH17Z,"exports_[1163000, 10071333333.333]_1"
79,0.4,A1RHQEWFCONEP8,"exports_[1163000, 10071333333.333]_1"
80,0.6,A3O9Q7AV4TDE4G,"exports_[1163000, 10071333333.333]_1"
84,0.2,A2HGAQ9WOEU9PN,"exports_[1163000, 10071333333.333]_1"
86,0.1,A1POQWMOWKNQCN,"exports_[1163000, 10071333333.333]_1"
88,0.2,A369K7I5SXBPNC,"exports_[1163000, 10071333333.333]_1"
89,0.1,A2VBSFSJXLZZ7A,"exports_[1163000, 10071333333.333]_1"
90,0.1,A3DT085TCZLLMH,"exports_[1163000, 10071333333.333]_1"
91,0.3,A3959BXDXZLWX2,"exports_[1163000, 10071333333.333]_1"
92,0.1,A163J5TEJBO43B,"exports_[1163000, 10071333333.333]_1"
93,0.3,AP0A2XBW34SZJ,"exports_[1163000, 10071333333.333]_1"
